date,siteCount
2026-02-16,47
2026-02-17,47
2026-02-20,48
2026-02-21,48
2026-02-22,48
2026-02-23,48
2026-02-24,49
2026-02-25,49
2026-02-26,49
2026-02-27,49
2026-03-02,50
2026-03-03,50
2026-03-04,50
2026-03-05,51
2026-03-06,51
2026-03-07,51
2026-03-08,51
2026-03-09,51
2026-03-10,51
2026-03-11,52
2026-03-12,52
2026-03-13,52
2026-03-14,52
2026-03-15,52
2026-03-16,52
2026-03-17,52
2026-03-18,52
2026-03-19,52
2026-03-20,52
2026-03-21,53
2026-03-22,53
2026-03-23,53
2026-03-24,53
2026-03-25,53
2026-03-26,53
2026-03-27,53
2026-03-28,53
2026-03-29,54
2026-03-30,54
2026-03-31,54
2026-04-01,54
2026-04-02,54
2026-04-03,54
2026-04-04,54
2026-04-05,54
2026-04-06,59
2026-04-07,60
2026-04-08,60
2026-04-09,60
2026-04-10,60
2026-04-11,60
2026-04-12,60
2026-04-13,60
2026-04-14,59
2026-04-15,60
2026-04-16,61
2026-04-17,61
2026-04-18,61
2026-04-19,61
2026-04-20,61
2026-04-21,61
2026-04-22,61
2026-04-23,61
2026-04-24,61
2026-04-25,61
2026-04-26,61
2026-04-27,61
2026-04-28,61
2026-04-29,61
2026-04-30,62
2026-05-01,62
