date,siteCount
2025-06-07,45
2025-06-08,46
2025-06-09,46
2025-06-10,46
2025-06-11,46
2025-06-12,46
2025-06-13,47
2025-06-14,47
2025-06-15,47
2025-06-16,47
2025-06-17,47
2025-06-18,47
2025-06-19,47
2025-06-20,47
2025-06-21,48
2025-06-22,48
2025-06-23,48
2025-06-24,47
2025-06-25,47
2025-06-26,47
2025-06-27,48
2025-06-28,48
2025-06-29,48
2025-06-30,48
2025-07-01,48
2025-07-02,48
2025-07-03,50
2025-07-04,50
2025-07-05,50
2025-07-06,50
2025-07-07,50
2025-07-08,50
2025-07-09,50
2025-07-10,50
2025-07-11,50
2025-07-12,50
2025-07-13,50
2025-07-14,50
