date,siteCount
2025-06-07,239
2025-06-08,239
2025-06-09,239
2025-06-10,240
2025-06-11,243
2025-06-12,246
2025-06-13,248
2025-06-14,248
2025-06-15,249
2025-06-16,252
2025-06-17,255
2025-06-18,255
2025-06-19,257
2025-06-20,258
2025-06-21,259
2025-06-22,259
2025-06-23,258
2025-06-24,257
2025-06-25,257
2025-06-26,257
2025-06-27,257
2025-06-28,258
2025-06-29,258
2025-06-30,258
2025-07-01,258
2025-07-02,259
2025-07-03,259
2025-07-04,260
2025-07-05,260
2025-07-06,260
2025-07-07,260
2025-07-08,262
2025-07-09,262
