date,siteCount
2025-06-07,15
2025-06-08,15
2025-06-09,15
2025-06-10,15
2025-06-11,15
2025-06-12,15
2025-06-13,15
2025-06-14,15
2025-06-15,15
2025-06-16,15
2025-06-17,15
2025-06-18,15
2025-06-19,15
2025-06-20,15
2025-06-21,15
2025-06-22,15
2025-06-23,15
2025-06-24,15
2025-06-25,15
2025-06-26,15
2025-06-27,15
2025-06-28,15
2025-06-29,15
2025-06-30,15
2025-07-01,15
2025-07-02,15
2025-07-03,16
2025-07-04,16
2025-07-05,16
2025-07-06,16
2025-07-07,16
2025-07-08,16
2025-07-09,17
2025-07-10,17
2025-07-11,17
2025-07-12,17
2025-07-13,17
2025-07-14,17
2025-07-15,17
2025-07-16,17
2025-07-17,17
2025-10-19,24
2025-10-20,24
2025-10-21,24
2025-10-22,24
2025-10-23,23
2025-10-24,23
2025-10-25,23
2025-10-26,23
2025-10-27,23
2025-10-28,23
2025-10-29,23
2025-10-30,23
2025-10-31,23
2025-11-01,23
2025-11-02,22
2025-11-03,22
2025-11-04,22
2025-11-05,22
2025-11-06,22
2025-12-02,23
2025-12-03,23
2025-12-04,23
2025-12-05,23
2025-12-06,23
2025-12-07,23
2025-12-08,23
2025-12-09,23
2025-12-10,22
2025-12-11,22
2025-12-12,22
2025-12-13,22
2026-01-12,22
2026-01-13,22
2026-01-14,22
2026-01-15,22
2026-01-16,22
2026-01-17,22
