date,siteCount
2025-06-07,91
2025-06-08,91
2025-06-09,91
2025-06-10,90
2025-06-11,90
2025-06-12,91
2025-06-13,91
2025-06-14,91
2025-06-15,92
2025-06-16,92
2025-06-17,92
2025-06-18,92
2025-06-19,92
2025-06-20,93
2025-06-21,94
2025-06-22,94
2025-06-23,95
2025-06-24,95
2025-06-25,95
2025-06-26,94
2025-06-27,94
2025-06-28,94
2025-06-29,94
2025-06-30,94
2025-07-01,94
2025-07-02,94
2025-07-03,94
2025-07-04,94
2025-07-05,94
2025-07-06,95
2025-07-07,95
2025-07-08,95
2025-07-09,95
2025-07-10,95
2025-07-11,95
2025-07-12,95
2025-07-13,95
2025-07-14,95
2025-07-15,95
2025-07-16,95
2025-10-19,96
2025-10-20,96
2025-10-21,95
2025-10-22,95
2025-10-23,95
2025-10-24,95
2025-10-25,95
2025-10-26,95
2025-10-27,95
2025-10-28,95
2025-10-29,95
2025-10-30,95
2025-10-31,95
2025-11-01,95
