date,siteCount
2025-06-14,2490
2025-06-15,2407
2025-06-16,2423
2025-06-17,2423
2025-06-18,2433
2025-06-19,2453
2025-06-20,2456
2025-06-21,2470
2025-06-22,2476
2025-06-23,2481
2025-06-24,2483
2025-06-25,2491
2025-06-26,2499
2025-06-27,2511
2025-06-28,2518
2025-06-29,2530
2025-06-30,2535
2025-07-01,2536
2025-07-02,2548
2025-07-03,2552
2025-07-04,2556
2025-07-05,2567
2025-07-06,2574
2025-07-07,2578
2025-07-08,2588
2025-07-09,2589
2025-07-10,2590
2025-07-11,2599
2025-07-12,2604
2025-07-13,2608
2025-07-14,2604
2025-07-15,2608
2025-07-16,2621
2025-07-17,2623
2025-10-19,3046
2025-10-19,0
2025-10-20,3062
2025-10-21,3061
2025-10-22,3070
2025-10-23,3072
2025-10-24,3079
2025-10-25,3089
2025-10-26,3102
2025-10-27,3097
2025-10-28,3102
2025-10-29,3109
2025-10-30,3118
2025-10-31,3121
2025-11-01,3129
2025-11-02,3133
2025-11-03,3139
2025-11-04,3154
2025-11-05,3168
2025-11-06,3167
2025-11-07,2871
2025-11-08,3183
2025-11-09,3192
2025-11-10,3195
2025-11-11,3209
2025-11-12,3218
2025-11-13,3225
2025-11-14,3254
2025-11-15,3266
2025-11-16,3279
2025-11-17,3286
2025-11-18,3320
2025-11-20,3349
2025-11-21,3356
2025-11-22,3351
2025-11-23,3366
2025-11-24,3373
2025-11-25,3367
2025-11-26,3369
2025-11-27,3387
2025-11-28,3403
2025-11-29,3414
2025-11-30,3445
2025-12-01,3459
2025-12-02,3468
2025-12-03,3481
2025-12-04,3493
2025-12-05,3488
2025-12-06,3505
2025-12-07,3502
2025-12-08,3528
2025-12-09,3545
2025-12-10,3555
2025-12-11,3577
2025-12-12,376
2025-12-13,165
2025-12-14,130
2025-12-15,62
2025-12-16,56
2025-12-17,41
2025-12-18,32
2025-12-19,27
2025-12-20,27
2025-12-21,26
2025-12-22,19
2025-12-23,18
2025-12-24,16
2025-12-25,16
2025-12-26,15
2025-12-27,15
2025-12-28,14
2025-12-29,14
2025-12-30,14
2025-12-31,9
2026-01-01,9
2026-01-02,9
2026-01-03,9
2026-01-04,0
2026-01-05,0
