date,siteCount
2025-06-14,2305
2025-06-15,2312
2025-06-16,2325
2025-06-17,2334
2025-06-18,2340
2025-06-19,2342
2025-06-20,2350
2025-06-21,2353
2025-06-22,2360
2025-06-23,2360
2025-06-24,2345
2025-06-25,2345
2025-06-26,2276
2025-06-27,2356
2025-06-28,2361
2025-06-29,2366
2025-06-30,2369
2025-07-01,2380
2025-07-02,2379
2025-07-03,2387
2025-07-04,2389
2025-07-05,2393
2025-07-06,2395
2025-07-07,2393
2025-07-08,2397
2025-07-09,2400
2025-07-10,2407
2025-07-11,2405
2025-07-12,2405
2025-07-13,2408
2025-07-14,2408
2025-07-15,2414
2025-07-16,2417
2025-07-17,2375
2025-10-19,2679
2025-10-19,0
2025-10-20,2691
2025-10-21,2698
2025-10-22,2713
