date,total,unique
2025-06-16,1020,738
2025-06-17,1025,741
2025-06-18,1034,750
2025-06-19,1031,749
2025-06-20,1041,757
2025-06-21,1045,761
2025-06-22,1052,768
2025-06-23,1054,770
2025-06-24,1056,772
2025-06-25,1061,777
2025-06-26,1062,778
2025-06-27,1067,790
2025-06-28,1075,791
2025-06-29,1072,797
2025-06-30,1075,790
2025-07-01,1044,792
2025-07-02,1079,794
2025-07-03,1078,793
2025-07-04,1081,796
2025-07-05,1081,796
2025-07-06,1086,799
2025-07-07,1088,801
2025-07-08,1080,793
2025-07-09,1068,782
2025-07-10,1076,790
2025-07-11,1079,791
2025-07-12,1071,782
2025-07-13,1068,780
2025-07-14,1066,777
2025-07-15,1077,788
2025-07-16,1079,790
2025-07-17,0,0
2025-10-19,1321,1009
2025-10-20,1330,1019
2025-10-21,1342,1031
2025-10-22,1356,1043
2025-10-23,1361,1047
2025-10-24,1365,1051
2025-10-25,1366,1053
2025-10-26,1371,1058
2025-10-27,1369,1056
2025-10-28,1365,1052
2025-10-29,1371,1058
2025-10-30,1372,1059
2025-10-31,1360,1050
2025-11-01,1362,1050
2025-11-02,1365,1053
2025-11-03,1370,1060
2025-11-04,1371,1059
2025-11-05,1382,1069
2025-11-06,1383,1070
2025-11-07,1379,1068
2025-11-08,1385,1071
2025-11-09,1388,1073
2025-11-10,1390,1076
2025-11-11,1394,1080
2025-11-12,1398,1082
2025-11-13,1397,1082
2025-11-14,1404,1089
2025-11-15,1409,1094
2025-11-16,1412,1097
2025-11-17,1414,1101
2025-11-18,1441,1128
2025-11-20,1458,1148
2025-11-21,1472,1162
2025-11-22,1479,1168
2025-11-23,1495,1183
2025-11-24,1497,1187
2025-11-25,1497,1186
2025-11-26,1502,1192
2025-11-27,1515,1205
2025-11-28,1522,1213
2025-11-29,1531,1222
