date,total,unique
2025-06-16,1258,939
2025-06-17,1267,948
2025-06-18,1272,953
2025-06-19,1284,965
2025-06-20,1295,974
2025-06-21,1303,981
2025-06-22,1313,991
2025-06-23,1317,995
2025-06-24,1310,987
2025-06-25,1304,981
2025-06-26,1301,979
2025-06-27,1302,980
2025-06-28,1309,987
2025-06-29,1315,993
2025-06-30,1320,997
2025-07-01,1313,1006
2025-07-02,1335,1012
2025-07-03,1335,1011
2025-07-04,1336,1012
2025-07-05,1342,1019
2025-07-06,1350,1026
2025-07-07,1360,1035
2025-07-08,1356,1031
2025-07-09,1350,1025
2025-07-10,1349,1024
2025-07-11,1349,1024
2025-07-12,1357,1029
2025-07-13,1359,1030
2025-07-14,1363,1034
2025-07-15,1369,1040
2025-07-16,1377,1048
2025-07-17,1365,1094
2025-10-19,1895,1543
2025-10-20,1914,1562
2025-10-21,1928,1575
2025-10-22,1934,1580
2025-10-23,1947,1592
2025-10-24,1958,1603
2025-10-25,1963,1609
2025-10-26,1973,1619
2025-10-27,1978,1624
2025-10-28,1976,1622
2025-10-29,1977,1620
2025-10-30,1975,1618
2025-10-31,1974,1619
2025-11-01,1974,1619
2025-11-02,1981,1626
