date,total,unique
2025-06-16,1239,870
2025-06-17,1242,873
2025-06-18,1247,878
2025-06-19,1252,882
2025-06-20,1261,891
2025-06-21,1263,893
2025-06-22,1269,899
2025-06-23,1270,899
2025-06-24,1254,883
2025-06-25,1253,882
2025-06-26,1253,883
2025-06-27,1263,892
2025-06-28,1264,894
2025-06-29,1270,900
2025-06-30,1270,899
2025-07-01,1278,910
2025-07-02,1278,907
2025-07-03,1282,911
2025-07-04,1278,908
2025-07-05,1281,911
2025-07-06,1281,910
2025-07-07,1279,907
2025-07-08,1284,911
2025-07-09,1285,912
2025-07-10,1286,914
2025-07-11,1285,913
2025-07-12,1287,914
2025-07-13,1290,914
2025-07-14,1289,913
2025-07-15,1293,918
2025-07-16,1295,920
2025-07-17,1303,943
2025-10-19,1578,1205
2025-10-20,1591,1218
2025-10-21,1605,1232
2025-10-22,1612,1238
2025-10-23,1617,1243
2025-10-24,1616,1242
2025-10-25,1624,1250
2025-10-26,1628,1254
2025-10-27,1623,1250
2025-10-28,1622,1249
2025-10-29,1625,1249
2025-10-30,1629,1253
2025-10-31,1627,1251
2025-11-01,1629,1253
2025-11-02,1635,1259
2025-11-03,1639,1264
2025-11-04,1648,1274
2025-11-05,1656,1277
2025-11-06,1656,1277
2025-11-07,1648,1281
2025-11-08,1665,1282
2025-11-09,1672,1289
2025-11-10,1680,1296
2025-11-11,1683,1299
2025-11-12,1685,1301
2025-11-13,1688,1305
2025-11-14,1696,1313
2025-11-15,1699,1317
2025-11-16,1702,1320
2025-11-17,1705,1323
2025-11-18,1727,1344
2025-11-20,1754,1370
2025-11-21,1763,1379
2025-11-22,1769,1386
2025-11-23,1780,1397
2025-11-24,1786,1403
2025-11-25,1797,1415
2025-11-26,1809,1427
2025-11-27,1825,1444
2025-11-28,1845,1465
2025-11-29,1861,1481
2025-11-30,1877,1497
2025-12-01,1886,1506
2025-12-02,1891,1504
2025-12-03,1898,1510
2025-12-04,1912,1522
2025-12-05,1914,1526
2025-12-06,1920,1531
2025-12-07,1921,1537
2025-12-08,1932,1544
2025-12-09,1946,1558
2025-12-10,1956,1566
2025-12-11,1968,1576
2026-01-10,2301,1932
2026-01-11,2328,1939
2026-01-12,2334,1945
2026-01-13,2338,1949
2026-01-14,2338,1951
2026-01-15,2332,1943
2026-01-16,2330,1941
2026-01-17,2334,1944
2026-01-18,2328,1936
2026-01-19,2339,1948
2026-01-20,2337,1964
2026-01-21,2341,1948
2026-01-22,2336,1942
2026-01-23,2332,1937
2026-01-24,2326,1931
2026-01-25,2331,1934
2026-01-26,2326,1931
2026-01-27,2331,1935
2026-01-28,2336,1939
2026-01-29,2345,1948
2026-01-30,2347,1949
2026-01-31,2344,1946
2026-02-01,2346,1949
