dateEpoch,pioneer,settler,technician,engineer,scientist,DW,RAT,OVE,COF,PWO,EXO,PT,KOM,REP,MED,HMS,SCN,ALE,SC,FIM,HSS,PDA,GIN,VG,MEA,LC,WS,WIN,NST
1722074400,1282.9083341981,2510.4000021666,4432.3750047348,15518.50001879,44657.750038896,25.466666666667,44.166666666667,32.3,226.16666666667,96.833333333333,87,144.16666666667,278.5,242.33333333333,450,490,661.66666666667,400,397.5,541.66666666667,775,1058.3333333333,481.66666666667,798.33333333333,1423.3333333333,3401.6666666667,2495,3600,650
1722160800,1277.137500881,2504.5125021692,4420.8750047442,15493.000018775,44502.000038896,19.2375,32.625,24.1875,169.625,72.25,66.375,108,211.5,181.875,340,367.5,500,301.25,298.125,406.25,581.25,792.5,356.25,597.5,1058.75,2551.25,1871.25,2700,487.5
1722247200,1279.5937508617,2523.8125022165,4364.000004774,15257.250018757,44426.250038896,19.2375,33.25,24.3125,169.625,72.125,66.375,108,212.5,181.5,340,367.5,502.5,301.25,298.125,405,581.25,792.5,298.75,596.25,1057.5,2551.25,1871.25,2700,487.5
1722333600,1304.0937508725,2544.6875023767,4465.8750049789,15106.125018721,44253.750037555,19.125,34.625,24.875,180.625,75.625,66.375,107.125,209,199.375,340,367.5,502.5,298.75,331.25,395,582.5,787.5,336.25,592.5,1055,2438.75,1871.25,2687.5,487.5
1722420000,1328.1187508702,2627.4375021644,4511.4375049844,15271.375018479,44896.500037536,19.125,36.625,24.3125,171.25,72,66.375,107.75,230.625,181.625,340,367.5,505,298.75,331.25,401.25,575,790,337.5,578.75,1065,2436.25,1871.25,2700,487.5
1722506400,1345.7333341936,2674.4666688318,4614.7500047212,15348.666685124,45074.916704192,26.833333333333,47,32.416666666667,228.5,96.166666666667,88.5,143.66666666667,307.5,242.16666666667,488.33333333333,511.66666666667,683.33333333333,396.66666666667,411.66666666667,535,766.66666666667,1053.3333333333,448.33333333333,771.66666666667,1448.3333333333,3248.3333333333,2495,3600,650
1722592800,1318.8062508162,2580.6500021517,4622.2187544443,15271.250018427,45159.125037525,20.3375,33.5,24.25,168.75,70.125,66.25,113.875,216.875,181.375,387.5,385,505,310,238.75,393.75,575,790,337.5,575,1075,2436.25,1871.25,2687.5,487.5
1722679200,1317.0437508322,2601.4750022106,4664.0250044307,15311.625018299,45094.250037523,20.325,33.625,24.25,169.875,70.75,66.25,113.875,217,181.375,387.5,385,505,308.75,238.75,393.75,575,788.75,337.5,573.75,1075,2436.25,1871.25,2687.5,487.5
1722765600,1285.787500817,2495.4875022061,4565.2625044324,15372.500018034,45452.500037517,20.3625,32.375,24.375,161.875,68.125,66.125,111.375,200.25,180.625,401.25,385,505,287.5,238.625,398.75,576.25,737.5,337.5,567.5,1087.5,2436.25,1871.25,2687.5,486.25
1722852000,1298.5062508095,2503.9875021372,4582.2937544398,15590.125018016,45738.875037517,21.625,32.125,24.2375,161.375,68.125,66.25,111.375,209.625,179.375,401.25,388.75,506.25,287.5,238.625,405,576.25,737.5,337.5,566.25,1100,2436.25,1871.25,2687.5,486.25
1722938400,1296.3000008101,2533.9500021363,4575.991671104,15572.500018045,45748.250037527,26.166666666667,44.5,33.25,225.16666666667,90.666666666667,83.833333333333,159,273.66666666667,237.33333333333,536.66666666667,518.33333333333,673.33333333333,381.66666666667,318.16666666667,541.66666666667,776.66666666667,983.33333333333,446.66666666667,756.66666666667,1466.6666666667,3250,2495,3600,648.33333333333
1723024800,1297.1312508117,2553.4000021517,4574.6375043802,15510.125018094,45685.312537524,19.775,34.5,24.8625,161.5,68,65.5,119.375,206.625,180.5,402.5,388.75,463.75,285,238.625,403.75,582.5,737.5,333.75,568.75,1098.75,2437.5,1868.75,2687.5,486.25
