dateEpoch,pioneer,settler,technician,engineer,scientist,DW,RAT,OVE,COF,PWO,EXO,PT,KOM,REP,MED,HMS,SCN,ALE,SC,FIM,HSS,PDA,GIN,VG,MEA,LC,WS,WIN,NST
1722074400,1083.6250004098,1697.2500011623,2761.0000027195,8859.0000133216,30175.000024736,69,123,45,531.25,137.5,97.5,225,375,390,650,750,1400,500,425,850,1095,3550,1000,1600,3000,6000,8000,6500,600
1722160800,1086.1250004098,1697.2500011623,2761.0000027195,8859.0000133216,30075.000023246,69,123,50,531.25,137.5,97.5,225,375,390,650,750,1400,500,425,850,1095,3550,1000,1600,3000,5500,8000,6500,600
1722247200,1086.1250004098,1701.0000011623,2761.0000027195,8859.0000133216,30075.000023246,69,123,50,531.25,137.5,105,225,375,390,650,750,1400,500,425,850,1095,3550,1000,1600,3000,5500,8000,6500,600
1722333600,1175.1250004098,1813.7500011623,2979.0000027195,9104.0000133216,30320.000023246,93.5,120.75,50,531.25,137.5,112.5,225,375,390,650,750,1400,550,425,850,1095,3550,1000,1600,3000,5500,8000,6500,600
1722420000,1178.1250004098,1818.2500011623,2993.6250027195,9113.3750133216,30329.375023246,93.5,121.5,50,531.25,137.5,112.5,225,375,390,668.75,750,1400,550,425,850,1095,3550,1000,1600,3000,5500,8000,6500,600
1722506400,1042.7916670764,1622.916667829,2756.0833360528,9039.833346655,30255.833356579,85.833333333333,95.333333333333,50,531.25,137.5,112.5,225,375,390,675,750,1400,550,425,850,1095,3550,1000,1600,3000,5500,8000,6500,600
1722592800,735.12500040978,1176.7500011623,2210.0000027195,8887.7500133403,30102.500023246,70.5,33.75,50,531.25,137.5,112.5,225,375,390,675,750,1400,550,425,850,1095,3562.5,1000,1600,3000,5500,8000,6500,600
1722679200,710.12500040978,1139.2500011623,2166.2500027195,8891.5000133961,30042.500022352,70.5,27.5,50,531.25,137.5,112.5,225,375,390,675,750,1400,550,425,850,1095,3600,1000,1600,3000,5500,8000,6500,0
1722765600,718.12500040978,1152.3750012368,2146.2500021979,8911.5000133961,30062.500022352,72.5,27.5,50,531.25,137.5,112.5,221.25,375,415,675,750,1050,550,425,850,1095,3600,1000,1600,3000,5500,8000,6500,0
1722852000,470.62500040978,1146.7500012368,2041.2500006333,8591.5000086278,2562.5000223517,72.5,27.5,50,36.25,137.5,112.5,210,375,415,675,750,0,550,425,850,1095,3600,1000,0,0,5500,8000,0,0
1722938400,470.62500040978,1146.7500012368,2041.2500006333,8424.8333394776,2479.1666877766,72.5,27.5,50,36.25,137.5,112.5,210,375,415,675,750,0,550,425,850,1095,1933.3333333333,1000,0,0,5500,6333.3333333333,0,0
1723024800,518.12500040978,1218.0000012368,2124.3750006333,8404.0000058338,2375.0000195578,72.5,39.375,50,36.25,137.5,112.5,210,375,415,675,750,0,550,425,850,1095,1725,1000,0,0,5500,4250,0,0
1723111200,659.62500040978,1421.5000011027,2371.8750006333,8339.0000049025,2310.0000186265,72.25,75,50,36.25,137.5,112.5,210,375,370,675,750,0,550,425,850,1095,1100,1000,0,0,5500,3000,0,0
1723197600,648.62500040978,1396.2500009686,2352.5000006333,8486.5000071377,2307.5000186265,72,72.5,50,36.25,137.5,112.5,210,375,325,675,750,0,550,425,850,1095,2600,1000,0,0,5500,3000,0,0
1723284000,618.62500040978,1351.2500009686,2300.0000006333,8486.5000071377,2307.5000186265,72,65,50,36.25,137.5,112.5,210,375,325,675,750,0,550,425,850,1095,2600,1000,0,0,5500,3000,0,0
1723370400,618.62500040978,1351.2500009686,2300.0000006333,8486.5000071377,2307.5000186265,72,65,50,36.25,137.5,112.5,210,375,325,675,750,0,550,425,850,1095,2600,1000,0,0,5500,3000,0,0
1723456800,618.62500040978,1413.7500009686,2300.0000006333,8486.5000071377,2307.5000186265,72,65,50,36.25,137.5,112.5,210,437.5,325,675,750,0,550,425,850,1095,2600,1000,0,0,5500,3000,0,0
1723543200,613.62500040978,1470.0000009686,2290.6250006333,8474.0000071377,2295.0000186265,70.75,65,50,36.25,137.5,112.5,210,500,325,675,750,0,550,425,850,1095,2600,1000,0,0,5500,3000,0,0
1723629600,608.62500040978,1426.2500009686,2315.0000006333,8461.5000071377,2282.5000186265,69.5,65,50,36.25,137.5,112.5,210,462.5,325,675,817.5,0,550,425,850,1095,2600,1000,0,0,5500,3000,0,0
1723716000,608.62500040978,1388.7500009686,2348.7500006333,8461.5000071377,2282.5000186265,69.5,65,50,36.25,137.5,112.5,210,425,325,675,885,0,550,425,850,1095,2600,1000,0,0,5500,3000,0,0
1723802400,608.62500040978,1388.7500009686,2348.7500006333,8461.5000071377,2282.5000186265,69.5,65,50,36.25,137.5,112.5,210,425,325,675,885,0,550,425,850,1095,2600,1000,0,0,5500,3000,0,0
1723888800,547.62500040978,1271.5625009686,1896.2500006333,7959.0000071377,1780.0000186265,53,66.25,50,36.25,137.5,28.125,210,425,325,0,885,0,550,425,850,1095,2600,1000,0,0,5500,3000,0,0
1723975200,496.62500040978,1197.5000009686,1798.7500006333,7795.0000071526,16840.000018626,36.5,70,50,36.25,137.5,0,210,425,325,0,885,0,550,425,850,1100,2600,1000,0,2175,5500,3000,0,0
1724061600,496.62500040978,1228.7500009686,1837.5000015274,7795.0000071526,16840.000018626,36.5,70,50,36.25,137.5,62.5,210,425,325,0,842.5,600,550,425,850,1100,2600,1000,0,2175,5500,3000,0,0
1724148000,531.62500040978,1397.5000009686,1941.8750024214,7882.5000071526,16927.500018626,45.25,70,50,36.25,137.5,125,210,518.75,325,0,800,1200,550,425,850,1100,2600,1000,0,2175,5500,3000,0,0
1724234400,833.29166707645,2142.5000009686,2482.9166690881,8145.0000071526,17190.000018626,71.5,119.16666666667,50,36.25,137.5,200,210,800,325,0,800,1200,550,425,850,1100,2600,1000,0,2175,5500,3000,0,0
1724320800,706.62500040978,1773.1250009686,2252.5000024214,7970.0000071526,17015.000018626,54,105,50,36.25,137.5,181.25,210,612.5,325,0,800,1200,550,425,850,1100,2600,1000,0,2175,5500,3000,0,0
1724407200,636.62500040978,1470.0000009686,2121.2500024214,7795.0000071526,16840.000018626,36.5,105,50,36.25,137.5,125,210,425,325,0,800,1200,550,425,850,1100,2600,1000,0,2175,5500,3000,0,0
1724493600,636.62500040978,1470.0000009686,2121.2500024214,7795.0000071526,16840.000018626,36.5,105,50,36.25,137.5,125,210,425,325,0,800,1200,550,425,850,1100,2600,1000,0,2175,5500,3000,0,0
1724580000,635.29166707645,1512.0833343019,2118.7500024214,7791.6666738192,16836.666685293,36.166666666667,105,50,36.25,137.5,212.5,210,425,325,0,800,1200,550,425,850,1100,2600,1000,0,2175,5500,3000,0,0
